State,State_Abbr,04/28/18,10/28/17,I-XV
Alabama ,AL ,6074,7019,66805
Alaska ,AK ,4182,3735,41386
Arizona ,AZ ,12025,11668,144836
Arkansas ,AR ,27809,28035,291463
California ,CA ,69883,70260,890133
Colorado ,CO ,17156,19232,258171
Connecticut ,CT ,8252,5814,94130
Delaware ,DE ,5385,5517,80323
Florida ,FL ,30809,26035,305891
Georgia ,GA ,9409,7687,116528
Hawaii ,HI ,5076,3215,38362
Idaho ,ID ,4282,7452,60976
Illinois ,IL ,37172,44081,481732
Indiana ,IN ,21117,18674,270982
Iowa ,IA ,12290,11526,113131
Kansas ,KS ,17230,13337,148226
Kentucky ,KY ,12684,11076,121944
Louisiana ,LA ,4800,4800,54765
Maine ,ME ,28560,41700,326100
Maryland ,MD ,12651,15069,135101
Massachusetts ,MA ,27126,25837,299899
Michigan ,MI ,23115,20364,197005
Minnesota ,MN ,23505,26145,152480
Mississippi ,MS ,4455,3914,28831
Missouri ,MO ,43575,37577,411639
Montana ,MT ,3365,4467,32941
Nebraska ,NE ,6763,4620,86066
Nevada ,NV ,8012,4012,45774
New Hampshire ,NH ,14895,13160,113508
New Jersey ,NJ ,14819,14527,222959
New Mexico ,NM ,8314,7932,68516
New York ,NY ,39940,42850,568701
North Carolina ,NC ,29412,22697,200721
North Dakota ,ND ,359,389,4909
Ohio ,OH ,40509,35797,407859
Oklahoma ,OK ,2496,13337,15957
Oregon ,OR ,14614,10210,134012
Pennsylvania ,PA ,37290,36909,447975
Rhode Island ,RI ,3342,3825,36641
South Carolina ,SC ,8503,9032,74059
South Dakota ,SD ,1625,1780,21349
Tennessee ,TN ,20590,29700,203706
Texas ,TX ,82978,67273,752776
Utah ,UT ,16286,16307,110458
Vermont ,VT ,6008,5913,51937
Virginia ,VA ,30288,25823,307651
Washington ,WA ,17018,15473,208433
West Virginia ,WV ,6171,5473,71805
Wisconsin ,WI ,62195,60257,591472
Wyoming ,WY ,1648,1723,19657
Washington D.C.,DC,1559,1024,15886
Puerto Rico & Virgin Islands,PRVI,1425,0,18066
Tribal Land,NA,2270,1466,0
,,947621,924279,9946567
