State,State_Abbr,04/28/2018 (Law),04/28/2018 (All),10/28/2017 (Law),10/28/2017 (All),04/29/17,10/22/16
Alabama ,AL ,53,80,52,76,,
Alaska ,AK ,11,17,13,18,,
Arizona ,AZ ,57,80,53,75,,
Arkansas ,AR ,170,198,152,171,,
California ,CA ,192,318,193,327,,
Colorado ,CO ,63,86,66,91,,
Connecticut ,CT ,70,72,53,52,,
Delaware ,DE ,22,25,22,24,,
Florida ,FL ,121,152,126,155,,
Georgia ,GA ,58,71,50,64,,
Hawaii ,HI ,2,18,2,15,,
Idaho ,ID ,31,37,30,30,,
Illinois ,IL ,171,196,148,147,,
Indiana ,IN ,82,104,72,69,,
Iowa ,IA ,88,114,78,108,,
Kansas ,KS ,84,110,68,85,,
Kentucky ,KY ,77,85,68,86,,
Louisiana ,LA ,54,54,44,60,,
Maine ,ME ,130,157,129,157,,
Maryland ,MD ,46,112,46,107,,
Massachusetts ,MA ,157,161,145,147,,
Michigan ,MI ,168,210,151,199,,
Minnesota ,MN ,84,101,76,91,,
Mississippi ,MS ,60,46,46,47,,
Missouri ,MO ,173,225,136,184,,
Montana ,MT ,18,23,20,24,,
Nebraska ,NE ,35,42,27,34,,
Nevada ,NV ,10,21,9,17,,
New Hampshire ,NH ,120,122,111,114,,
New Jersey ,NJ ,186,202,177,190,,
New Mexico ,NM ,57,85,52,78,,
New York ,NY ,164,226,164,240,,
North Carolina ,NC ,86,83,60,69,,
North Dakota ,ND ,4,4,5,7,,
Ohio ,OH ,212,288,195,263,,
Oklahoma ,OK ,23,27,29,30,,
Oregon ,OR ,52,60,49,56,,
Pennsylvania ,PA ,217,311,211,303,,
Rhode Island ,RI ,32,33,31,35,,
South Carolina ,SC ,49,66,50,68,,
South Dakota ,SD ,18,22,21,23,,
Tennessee ,TN ,155,187,152,131,,
Texas ,TX ,302,343,249,300,,
Utah ,UT ,61,63,48,52,,
Vermont ,VT ,34,66,51,73,,
Virginia ,VA ,141,179,130,167,,
Washington ,WA ,63,70,59,71,,
West Virginia ,WV ,69,104,63,97,,
Wisconsin ,WI ,303,317,268,270,,
Wyoming ,WY ,18,21,15,17,,
Washington D.C.,DC,1,7,1,7,,
Puerto Rico & Virgin Islands,PRVI,29,41,8,0,,
Tribal Land,NA,80,142,64,115,,
,,4683,5842,4274,5321,,
